"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"22","BOL","Bolivia","Latin America and the Caribbean",53.6,348.2,12.4,29.8294,1.0624,358.666666666667,0.031,298.333333333333,0.026,NA,NA,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,6660,261,570.546,22.359,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","1","1","0","0","2","1","0","1","0","0",NA,"866","46","96.3","96.3","97.14","97.14","78.21","78.21","83.33","83.33","50","50"
"23","BRA","Brazil","Latin America and the Caribbean",3585.6,16663.8,922.8,78.3958,4.3414,NA,NA,NA,NA,NA,NA,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,374898,23473,1763.733,110.43,NA,NA,"3","0","3","0","2","0","4","0","2","0","2","0","2","0","4","1","1","1","0","0","2","1","1","0","0","0",NA,"58509","4016","81.02","81.02","77.62","77.62","66.35","66.35","69.32","69.32","50","50"
"24","BRB","Barbados","Latin America and the Caribbean",0.8,0.4,0,1.392,0,NA,NA,NA,NA,NA,78.7,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,92,7,320.144,24.359,NA,NA,"3","1","1","1","2","1","4","1","1","1","2","1","2","1","2","1","0","1","0","0","2","1","2","2","0","0",NA,"82","7","77.78","77.78","79.52","79.52","72.44","72.44","78.79","78.79","37.5","37.5"
"25","BRN","Brunei","Asia and the Pacific",0,0,0,0,0,NA,NA,NA,NA,NA,NA,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,141,1,322.298,2.286,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"0",NA,"1","1","4","1","0","0","0","0","2","1","2","1","0","0",NA,"141","1","58.33","58.33","63.81","63.81","51.28","51.28","58.33","58.33","12.5","12.5"
"26","BTN","Bhutan","Asia and the Pacific",0.2,1.2,0,1.5552,0,NA,NA,NA,NA,NA,74.07,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,27,0,34.992,0,NA,NA,"3","1","2","1","1","1","4","1","1","1","0",NA,"2","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"7","0","74.07","74.07","88.81","88.81","73.08","73.08","72.73","72.73","75","75"
"27","BWA","Botswana","Africa",0.4,1.2,0,0.5102,0,NA,NA,NA,NA,NA,61.11,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,35,1,14.883,0.425,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","0","2","0","4","1","0","2","0","0","2","1","1","1","0","0",NA,"23","1","86.11","86.11","87.62","87.62","75.64","75.64","78.03","78.03","62.5","62.5"
"28","CAF","Central African Rep.","Africa",1.4,48.2,0.2,9.9798,0.0414,NA,NA,NA,NA,NA,NA,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,652,1,134.996,0.207,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"0",NA,"2","0","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"50","0","68.52","68.52","74.52","74.52","53.85","53.85","63.64","63.64","0","0"
"29","CAN","Canada","North America",1703.6,1121.8,103,29.7228,2.729,26178,0.69375,23322.5,0.618,NA,NA,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,85700,6545,2270.67,173.414,NA,NA,"3","1","3","0","2","0","4","0","0",NA,"1","1","2","0","4","2","1","1","0","0","2","1","3","1","0","0",NA,"45341","2465","72.69","70.83","71.67","68.1","73.4","72.12","73.11","71.59","75","75"
"30","CHE","Switzerland","Europe",197,17.6,2.4,2.0336,0.2772,2364.33333333333,0.273333333333333,3557.66666666667,0.411,NA,NA,8654618,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,30663,1641,3542.964,189.61,NA,NA,"3","1","2","1","2","1","4","1","0",NA,"1","1","1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"28811","1641","69.44","65.74","71.67","68.1","64.1","61.54","64.39","61.36","62.5","62.5"
"31","CHL","Chile","Latin America and the Caribbean",470.2,4076,43.4,213.2222,2.2702,15509.5,0.8115,15103,0.79025,NA,NA,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,73997,761,3870.903,39.809,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"2","1","2","0","3","1","0","1","0","0","2","1","2","2","0","0",NA,"12858","181","73.15","75.93","72.86","76.43","69.23","71.15","75","77.27","37.5","37.5"
