"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"100","MOZ","Mozambique","Africa",6.2,10.6,0.2,0.3392,0.0064,NA,NA,NA,NA,NA,56.48,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,209,1,6.687,0.032,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"1","1","0",NA,"2","0",NA,"0","0","0","2","1","1","2","0","0",NA,"76","0","50.93","50.93","55.71","55.71","45.51","45.51","53.79","53.79","0","0"
"101","MRT","Mauritania","Africa",0,21.2,0.4,4.5596,0.086,NA,NA,NA,NA,NA,NA,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,237,6,50.971,1.29,NA,NA,"3","1","1","1","2","1","4","1","0",NA,"2","1","2","1","4","1","1","1","0","0","2","1","0","2","0","0",NA,"8","1","77.78","77.78","75.71","75.71","69.23","69.23","72.73","72.73","50","50"
"102","MUS","Mauritius","Africa",0.6,0.4,0,0.3146,0,NA,NA,NA,NA,NA,NA,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,334,10,262.627,7.863,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","1","1","4","0","1","1","0","0","2","1","1","2","0","0",NA,"332","10","82.41","82.41","88.81","88.81","71.15","71.15","75","76.52","25","25"
"103","MWI","Malawi","Africa",3.2,5.8,0.2,0.3032,0.0104,NA,NA,NA,NA,NA,57.41,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,101,4,5.28,0.209,NA,NA,"3","1","1","0","2","1","3","1","0",NA,"1","1","0",NA,"3","2","1","2","0","0","2","1","1","2","0","0",NA,"36","3","53.7","53.7","58.57","58.57","64.1","64.1","56.06","56.06","100","100"
"104","MYS","Malaysia","Asia and the Pacific",63.4,81.6,0.2,2.5212,0.0062,7989.75,0.247,10092,0.312,NA,69.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,7417,115,229.16,3.553,NA,NA,"3","1","2","1","2","1","2","1","0",NA,"1","1","2","1","3","1","1","2","0","0","2","1","3","2","0","0",NA,"5742","115","69.44","69.44","76.43","76.43","75","75","75","75","75","75"
"105","NAM","Namibia","Africa",0,1,0,0.3938,0,NA,NA,NA,NA,NA,66.67,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,21,0,8.265,0,NA,NA,"3","1","2","1","2","1","4","1","0",NA,"1","1","0","1","4","2","1","1","0","0","2","1","1","2","0","0",NA,"712","7","66.67","66.67","72.14","72.14","67.95","67.95","66.67","66.67","75","75"
"106","NER","Niger","Africa",5.8,6.2,0.8,0.2562,0.033,NA,NA,NA,NA,NA,NA,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,951,62,39.287,2.561,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"0","1","2","0","4","0",NA,"1","0","0","2","1","1","1","0","0",NA,"684","29","61.11","33.33","63.81","63.81","52.56","33.33","57.58","34.85","25","25"
"107","NGA","Nigeria","Africa",103.4,278.2,6.6,1.3498,0.032,1258.66666666667,0.006,1475.75,0.007,NA,80.56,206139587,209.588,18.1,2.751,1.447,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,8068,233,39.139,1.13,NA,NA,"3","1","2","1","2","1","3","1","1","1","1","1","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"1182","40","80.56","80.56","88.81","88.81","66.03","66.03","78.03","78.03","0","0"
"108","NIC","Nicaragua","Latin America and the Caribbean",0.6,50.8,1.8,7.6684,0.2718,NA,NA,NA,NA,NA,11.11,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,NA,NA,NA,0.9,279,17,42.116,2.566,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0","0",NA,"0","0","0","2","1","1","0","0","0",NA,"25","8","11.11","11.11","14.29","14.29","14.1","14.1","16.67","16.67","0","0"
"109","NLD","Netherlands","Europe",757,199.6,16.4,11.6486,0.9572,NA,NA,3728.33333333333,0.218,NA,68.52,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,45445,5830,2652.194,340.242,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"37190","4409","79.63","68.52","85.95","77.62","71.15","63.46","72.73","63.64","62.5","62.5"
"110","NOR","Norway","Europe",70.8,16.8,0.2,3.099,0.0368,NA,NA,2144,0.3955,NA,NA,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,8352,235,1540.606,43.348,NA,NA,"2","1","2","1","2","1","2","1","1","1","0",NA,"1","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"8197","232","64.81","54.63","80.48","60.24","58.97","51.92","60.61","52.27","50","50"
"111","NPL","Nepal","Asia and the Pacific",3.6,47.6,0.4,1.6338,0.0136,3359.33333333333,0.115333333333333,2787.33333333333,0.0953333333333333,NA,NA,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,682,4,23.407,0.137,NA,NA,"3","1","3","1","2","1","3","1","2","1","2","1","2","1","4","1","1","2","0",NA,"2","1","1","2","0","0",NA,"52","0","93.52","93.52","97.14","97.14","86.54","86.54","88.64","88.64","75","75"
"112","NZL","New Zealand","Asia and the Pacific",2.8,0.2,0,0.0414,0,3689.66666666667,0.765333333333333,4453,0.923,NA,NA,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,1154,21,239.308,4.355,NA,NA,"2","1","2","1","2","1","4","1","1","1","2","1","2","1","4","2","0","1","0","0","2","1","2","2","0","0",NA,"1154","21","83.33","83.33","85.24","85.24","80.13","80.13","83.33","83.33","62.5","62.5"
"113","OMN","Oman","West Asia",79.4,345.4,1.4,67.6378,0.2742,NA,NA,NA,NA,NA,84.26,5106622,14.98,30.7,2.355,1.53,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,7770,37,1521.554,7.245,NA,NA,"3","1","2","0","2","1","4","1","2","1","2","0","2","0","4","2","0","0","0","0","2","1","2","2","0","0",NA,"7770","10","86.11","86.11","85.24","85.24","78.21","78.21","85.61","85.61","37.5","37.5"
"114","PAK","Pakistan","Asia and the Pacific",701.4,1922.8,36,8.7048,0.163,13514,0.061,14267.25,0.06475,NA,NA,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,57705,1197,261.236,5.419,NA,NA,"3","1","2","1","2","0","4","1","2","1","2","1","2","1","4","1","1","1","0","0","2","1","2","2","0","0",NA,"12723","269","89.81","89.81","93.57","93.57","82.69","82.69","88.64","88.64","50","50"
"115","PAN","Panama","Latin America and the Caribbean",176,241.2,4.6,55.901,1.066,1437.33333333333,0.333333333333333,1085.33333333333,0.251333333333333,NA,NA,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,NA,2.3,11183,310,2591.796,71.846,NA,NA,"3","1","3","1","2","1","3","1","0",NA,"2","1","2","1","4","1","0","2","0","0","2","1","2","1","0","0",NA,"5538","159","82.41","82.41","82.86","82.86","75.64","73.08","78.03","78.03","62.5","62.5"
"116","PER","Peru","Latin America and the Caribbean",1801.2,3991.8,121,121.0668,3.6698,10396,0.315,3194.75,0.097,NA,NA,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,123979,3629,3760.147,110.064,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"25331","700","100","96.3","97.14","97.14","89.74","87.18","92.42","89.39","75","75"
"117","PHL","Philippines","Asia and the Pacific",167,219.6,6.2,2.004,0.0568,NA,NA,10351,0.094,NA,93.52,109581085,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,14319,873,130.67,7.967,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","3","1","0","0","0","0","2","1","2","2","0","0",NA,"7294","494","93.52","93.52","94.29","94.29","79.49","79.49","91.67","91.67","12.5","12.5"
"118","PNG","Papua New Guinea","Asia and the Pacific",0.2,0,0,0,0,NA,NA,NA,NA,NA,NA,8947027,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,8,0,0.894,0,NA,NA,"0","1","2","0","2","1","4","0","0",NA,"1","0","2","0","2","0",NA,"0","0","0","2","1","2","2","0","0",NA,"8","0","53.24","44.91","50.95","45","49.68","43.91","58.71","51.89","0","0"
"119","POL","Poland","Europe",336,378.4,9,9.9984,0.2378,20586.5,0.544,20841.5,0.55075,NA,NA,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,21631,1007,571.544,26.607,NA,NA,"3","1","2","1","2","1","4","1","1","1","1","1","2","1","4","1","0","1","0","0","2","1","1","0","0","0",NA,"11273","524","83.33","83.33","88.81","88.81","66.03","66.03","71.21","71.21","37.5","37.5"
"120","PRI","Puerto Rico","Latin America and the Caribbean",11,78.8,0.8,27.5444,0.2798,NA,NA,NA,NA,NA,87.04,2860840,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,3260,129,1139.525,45.092,NA,NA,"3","1","2","1","2","1","4","1","2","1","3","1","2","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"1307","84","100","100","97.14","97.14","88.46","88.46","93.94","93.94","75","75"
"121","PRT","Portugal","Europe",564,225.6,13.4,22.1248,1.3142,NA,NA,NA,NA,NA,68.52,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,30788,1330,3019.406,130.434,NA,NA,"3","1","2","1","2","1","4","1","1","1","1","1","1","1","3","1","1","2","0","0","2","1","3","1","0","0",NA,"25524","1007","75","75","81.19","81.19","75","75","75","75","75","75"
"122","PRY","Paraguay","Latin America and the Caribbean",4,6.4,0,0.8972,0,941.666666666667,0.132,628.333333333333,0.088,NA,NA,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,865,11,121.275,1.542,NA,NA,"3","1","3","1","2","1","4","1","1","1","3","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"228","10","94.44","94.44","92.38","92.38","85.9","85.9","87.88","87.88","75","75"
"123","PSE","West Bank","Europe",2.6,5,0.2,0.9802,0.0392,NA,NA,NA,NA,NA,NA,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NA,NA,NA,NA,602,5,118.006,0.98,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"547","4","96.3","96.3","97.14","97.14","80.77","80.77","86.36","86.36","50","50"
"124","QAT","Qatar","West Asia",668.6,1673.6,2,580.8974,0.694,4250.5,1.47525,4497,1.561,NA,87.04,2881060,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,45465,26,15780.65,9.024,NA,NA,"3","1","2","1","2","1","4","1","2","1","2","1","1","1","4","2","0","0","0","0","2","1","1","2","0","0",NA,"9358","12","87.04","87.04","90","90","76.28","76.28","83.33","83.33","37.5","37.5"
"125","ROU","Romania","Europe",339.8,179.2,11.2,9.315,0.5824,8681.25,0.4515,8482.75,0.44075,NA,NA,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,18283,1197,950.374,62.222,NA,NA,"3","1","2","1","2","1","4","1","2","0","2","1","2","0","4","2","0","2","0","0","2","1","3","1","0","0",NA,"10635","575","87.04","87.04","85.24","85.24","85.26","85.26","84.85","84.85","87.5","87.5"
"126","RUS","Russia","Europe",5493.4,8944.4,132.2,61.2904,0.9056,276126,1.892,250952.5,1.71975,NA,78.24,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,353427,3633,2421.82,24.895,NA,NA,"3","0","3","1","2","1","4","1","1","0","3","0","2","0","4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"74588","681","85.19","85.19","80.48","80.48","82.05","82.05","87.88","87.88","50","50"
"127","RWA","Rwanda","Africa",7.2,4.4,0,0.3396,0,1359,0.105,1319.66666666667,0.102,NA,75,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,336,0,25.942,0,NA,NA,"3","1","2","1","2","1","4","1","0","1","1","1","1","1","4","0",NA,"1","0","0","2","1","3","2","0","0",NA,"287","0","100","75","97.14","84.05","88.46","71.15","100","79.55","25","25"
"128","SAU","Saudi Arabia","West Asia",1163,2450,12,70.3742,0.3448,18340.6666666667,0.526666666666667,18237.25,0.52375,NA,91.205,34813867,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,74795,399,2148.426,11.461,NA,NA,"3","1","2","0","2","1","4","1","2","1","3","0","2","0","4","2","0","1","0","0","2","1","2","2","0","0",NA,"16299","136","89.81","89.81","86.43","86.43","84.62","84.62","88.64","88.64","62.5","62.5"
"129","SDN","Sudan","Africa",24.2,219.6,10.8,5.008,0.2462,NA,NA,NA,NA,NA,NA,43849269,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,3826,165,87.253,3.763,NA,NA,"3","1","2","1","2","1","3","1","2","1","2","0","2","0","4","1","1","1","0","0","2","1","2","1","0","0",NA,"1964","41","85.19","85.19","88.81","88.81","75.64","75.64","80.3","80.3","50","50"
"130","SEN","Senegal","Africa",47.4,83.2,1.2,4.9688,0.0716,1028.25,0.0615,1037.75,0.062,NA,61.11,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,3130,36,186.933,2.15,NA,NA,"3","1","0",NA,"2","1","4","1","0",NA,"0",NA,"2","1","4","1","0","2","0","0","2","1","2","2","0","0",NA,"614","9","66.67","61.11","68.57","68.57","68.59","64.74","69.7","65.15","62.5","62.5"
"131","SGP","Singapore","Asia and the Pacific",935.8,519.2,0.2,88.747,0.0342,NA,NA,NA,NA,NA,81.48,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,31960,23,5462.928,3.931,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","2","1","1","2","0","0","2","1","2","2","0","0",NA,"12693","20","85.19","85.19","86.67","86.67","83.33","83.33","84.85","84.85","75","75"
"132","SLE","Sierra Leone","Africa",7.8,33,1.6,4.1368,0.2004,NA,NA,NA,NA,NA,NA,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,735,42,92.14,5.265,NA,NA,"3","1","0","1","2","1","3","1","1","1","1","1","2","1","4","0",NA,"0","0","0","2","1","2","2","0","0",NA,"338","4","73.15","73.15","78.1","78.1","63.46","63.46","75","75","0","0"
"133","SLV","El Salvador","Latin America and the Caribbean",16,82.4,0.8,12.704,0.1232,2494.33333333333,0.384666666666667,2428.33333333333,0.374333333333333,NA,NA,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,1983,36,305.726,5.55,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","1","1","2","0","0","2","1","3","0","0","0",NA,"298","8","100","100","97.14","97.14","80.77","92.31","86.36","86.36","75","75"
"134","SMR","San Marino","Europe",10.2,2,0.2,58.9308,5.893,NA,NA,NA,NA,NA,NA,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,666,42,19624.02,1237.551,NA,NA,"3","1","2","1","2","1","4","1","0","1","1","1","1","1","2","1","1","1","0","0","2","1","2","2","0","0",NA,"538","41","66.67","66.67","68.81","68.81","66.67","66.67","69.7","69.7","50","50"
"135","SOM","Somalia","Africa",30.6,23.2,1,1.4596,0.063,NA,NA,NA,NA,NA,NA,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,1689,66,106.272,4.153,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"1","1","0",NA,"4","0",NA,"0",NA,"0","2","1","1","0","0","0",NA,"1594","61","56.48","56.48","61.43","61.43","41.67","41.67","49.24","49.24","0","0"
"136","SRB","Serbia","Europe",229.8,72,0.8,10.5812,0.1176,4685.66666666667,0.688666666666667,5579.66666666667,0.82,NA,NA,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,11193,239,1644.918,35.123,NA,NA,"3","1","2","1","2","1","4","1","2","1","3","1","2","0","4","1","0","1","0","0","2","1","1","2","0","0",NA,"7779","237","93.52","93.52","93.57","93.57","80.77","80.77","88.64","88.64","37.5","37.5"
"137","SSD","S. Sudan","Africa",0.2,74,0.4,6.6108,0.0358,NA,NA,NA,NA,NA,NA,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,655,8,58.515,0.715,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","0","2","1","4","0",NA,"0","0","0","2","1","2","1","0","0",NA,"6","0","88.89","92.59","92.38","93.57","70.51","76.92","83.33","90.91","0","0"
"138","SUR","Suriname","Latin America and the Caribbean",0,0,0,0,0,NA,NA,NA,NA,NA,NA,586634,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,11,1,18.751,1.705,NA,NA,"3","1","0",NA,"2","1","4","1","2","1","2","1","2","0","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"10","1","82.41","82.41","79.29","79.29","63.46","63.46","75","75","0","0"
"139","SVK","Slovakia","Europe",40,3,0,0.5494,0,1942.5,0.356,2445.66666666667,0.447666666666667,NA,NA,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,1511,28,276.758,5.129,NA,NA,"3","1","2","0","2","1","3","1","1","1","1","1","1","1","4","2","0","2","0","0","2","1","1","2","0","0",NA,"1455","28","73.15","73.15","80.48","80.48","74.36","74.36","71.97","71.97","87.5","87.5"
"140","SVN","Slovenia","Europe",10.6,0.2,0,0.0962,0,424.666666666667,0.204333333333333,768.333333333333,0.369333333333333,NA,42.13,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,1469,106,706.613,50.988,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","0","1","3","1","1","2","0","0","2","1","2","2","0","0",NA,"1468","106","75","75","83.57","83.57","76.28","76.28","76.52","76.52","75","75"
"141","SWE","Sweden","Europe",680,464,39.6,45.944,3.9212,NA,NA,4193.66666666667,0.415,NA,NA,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,33843,4029,3351.034,398.94,NA,NA,"1","1","1","1","0",NA,"3","1","0",NA,"0",NA,"1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"18177","2192","40.74","40.74","58.1","58.1","44.23","44.23","40.91","40.91","62.5","62.5"
"142","SWZ","Swaziland","Africa",3.2,7.8,0,6.7232,0,NA,NA,NA,NA,NA,NA,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,256,2,220.658,1.724,NA,NA,"3","1","0",NA,"2","1","3","1","2","1","2","1","2","1","4","0",NA,"0","0","0","2","1","3","1","0","0",NA,"116","2","82.41","82.41","82.86","82.86","68.59","68.59","81.06","81.06","0","0"
"143","SYC","Seychelles","Africa",0,0,0,0,0,NA,NA,NA,NA,NA,61.11,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,11,0,111.857,0,NA,NA,"3","1","2","1","2","1","4","1","0","1","1","1","1","1","4","0",NA,"0","0","0","2","1","2","2","0","0",NA,"11","0","93.52","61.11","94.29","60.24","77.56","55.13","91.67","65.15","0","0"
"144","SYR","Syria","West Asia",0.6,9.6,0.2,0.5486,0.0114,NA,NA,NA,NA,NA,NA,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,106,4,6.057,0.229,NA,NA,"3","1","2","1","2","0","3","1","2","1","2","0","2","0","3","0",NA,"0","0","0","2","1","1","0","0","0",NA,"43","3","79.63","79.63","83.1","83.1","57.69","57.69","68.18","68.18","0","0"
"145","TCD","Chad","Africa",1.4,24.4,0.8,1.4856,0.0488,NA,NA,NA,NA,NA,NA,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,687,61,41.824,3.714,NA,NA,"3","1","3","1","2","1","3","1","2","1","2","0","2","0","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"117","0","88.89","85.19","92.38","88.81","75.64","73.08","80.3","77.27","50","50"
"146","THA","Thailand","Asia and the Pacific",26,1.6,0.2,0.023,0.0028,NA,NA,6769,0.097,NA,NA,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,3042,57,43.582,0.817,NA,NA,"3","1","2","1","2","1","3","1","2","0","1","1","2","0","4","2","1","2","0","0","2","1","2","1","0","0",NA,"2922","56","80.56","80.56","84.05","84.05","80.13","80.13","76.52","76.52","100","100"
"147","TLS","East Timor","Asia and the Pacific",0.4,0,0,0,0,NA,NA,NA,NA,NA,NA,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,24,0,18.203,0,NA,NA,"3","1","2","1","2","1","4","1","0","1",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","TTO","Trinidad and Tobago","Latin America and the Caribbean",0.2,0,0,0,0,NA,NA,NA,NA,NA,NA,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,116,8,82.887,5.716,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","4","2","1","2","0","0","2","1","1","2","0","0",NA,"116","8","90.74","90.74","92.38","92.38","88.46","88.46","86.36","86.36","100","100"
"149","TUN","Tunisia","Africa",11,1.2,0.2,0.1016,0.017,1021,0.086,1124,0.095,NA,NA,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,1051,48,88.927,4.061,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","3","1","1","2","0","0","2","1","1","2","0","0",NA,"1032","45","87.96","76.85","89.52","82.38","78.85","75","79.55","75","75","75"
"150","TUR","Turkey","Europe",3358.6,1045.4,29.4,12.3952,0.3484,28753,0.341,30323,0.3595,NA,NA,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,157814,4369,1871.185,51.803,NA,NA,"3","1","2","1","2","1","0",NA,"2","0","2","1","2","1","4","2","0","1","0","0","2","1","2","2","0","0",NA,"107773","2706","78.7","78.7","88.81","88.81","76.92","76.92","79.55","79.55","62.5","62.5"
"151","TWN","Taiwan","Asia and the Pacific",1.4,0,0,0,0,180.666666666667,0.00766666666666667,215,0.009,NA,22.22,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,441,7,18.516,0.294,NA,NA,"0",NA,"0",NA,"0","1","0",NA,"0",NA,"0",NA,"0",NA,"4","1","0","0","0","0","2","1","2","2","0","0",NA,"440","6","22.22","22.22","25.71","25.71","30.13","30.13","33.33","33.33","12.5","12.5"
"152","TZA","Tanzania","Africa",26,0,0,0,0,NA,NA,NA,NA,NA,NA,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,509,21,8.521,0.352,NA,NA,"2","1","0",NA,"2","0","3","1","0",NA,"0",NA,"0",NA,"4","0",NA,"0","0","0","1","1","0","1","0","0",NA,"509","21","40.74","40.74","43.1","43.1","32.05","32.05","37.88","37.88","0","0"
"153","UGA","Uganda","Africa",3.8,12.4,0,0.271,0,1677.33333333333,0.0366666666666667,1673.66666666667,0.0366666666666667,NA,NA,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,326,0,7.127,0,NA,NA,"3","1","2","1","2","1","3","1","2","1","2","1","2","1","3","0",NA,"1","0","0","2","1","1","1","0","0",NA,"79","0","87.04","87.04","90.71","90.71","70.51","70.51","78.79","78.79","25","25"
"154","UKR","Ukraine","Europe",498.4,403,11.8,9.2148,0.2698,8227.66666666667,0.188333333333333,8194.25,0.1875,NA,NA,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,21245,623,485.78,14.245,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","2","1","4","1","0","1","0","0","2","1","1","1","0","0",NA,"9009","220","88.89","88.89","93.57","93.57","73.72","73.72","80.3","80.3","37.5","37.5"
"155","URY","Uruguay","Latin America and the Caribbean",12.2,8.2,0.4,2.3608,0.1152,1641,0.472,649.75,0.187,NA,66.67,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,787,22,226.558,6.333,NA,NA,"3","0","1","1","2","1","0",NA,"1","1","1","1","2","1","4","1","0","2","0","0","2","1","1","1","0","0",NA,"596","17","66.67","66.67","81.67","81.67","62.18","62.18","62.12","62.12","62.5","62.5"
"156","USA","United States","North America",30260.2,22089.8,956.2,66.736,2.889,379644,1.147,387863.333333333,1.172,NA,NA,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,1662302,98220,5022.02,296.735,NA,NA,"3","0","3","0","2","0","4","0","1","0","2","0","2","0","3","2","0","1","0","0","2","1","3","1","0","0",NA,"939053","53189","72.69","72.69","70","70","71.47","71.47","73.11","73.11","62.5","62.5"
