"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"1","ABW","Aruba","Latin America and the Caribbean",1.4,0,0,0,0,NA,NA,NA,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,101,3,945.994,28.099,NA,NA,"3","1","3","1","2","1","4","1","0","1","2","1","2","1","3","0",NA,"2","0","0","2","1","1","0","0","0",NA,"100","2","83.46","83.46","80","80"
"2","AFG","Afghanistan","Asia and the Pacific",52.6,400,9.6,10.2754,0.2464,NA,NA,NA,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,6402,168,164.456,4.316,NA,NA,"3","1","3","0","2","1","4","1","2","0","2","0","2","0","1","0",NA,"0",NA,"0","2","1","1","1","0","0",NA,"784","30","76.33","76.33","75.48","75.48"
"3","AGO","Angola","Africa",0,0.6,0,0.0182,0,NA,NA,NA,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,48,2,1.46,0.061,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","4","0",NA,"2","0","0","1","1","2","0","0","0",NA,"24","2","86.77","86.77","84.05","84.05"
"4","ALB","Albania","Europe",15.6,9.6,0,3.336,0,NA,NA,NA,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,916,31,318.299,10.772,NA,NA,"3","1","2","0","2","1","4","1","2","0","2","1","2","1","4","2","0","1","0","0","2","1","2","1","0","0",NA,"494","31","88.36","88.36","85.24","85.24"
"5","AND","Andorra","Europe",14.4,1.2,0.2,15.5308,2.5884,NA,NA,NA,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,761,49,9849.22,634.181,NA,NA,"3","1","2","1","1","1","0",NA,"1","1","1","1","0",NA,"3","2","1","0","0",NA,"2","1","3","1","0","0",NA,"743","40","59.12","59.12","74.05","74.05"
"6","ARE","United Arab Emirates","West Asia",401,726.6,2.4,73.4652,0.2424,NA,NA,NA,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,21831,210,2207.292,21.233,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","1","1","4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"5825","33","86.77","86.77","85.24","85.24"
"7","ARG","Argentina","Latin America and the Caribbean",91.4,338,11.2,7.4786,0.2478,3040.8,0.0674,NA,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,7466,356,165.192,7.877,100362,2.221,"3","1","2","0","2","1","4","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"3423","300","87.57","87.57","86.43","86.43"
"8","AUS","Australia","Asia and the Pacific",44,15.6,0.2,0.6116,0.0078,32106.6,1.259,NA,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,7019,98,275.256,3.843,1015652,39.83,"2","0","2","0","2","1","4","1","0",NA,"2","0","2","0","4","1","1","2","0",NA,"2","1","1","1","0","0",NA,"6458","97","68.26","68.26","63.81","63.81"
"9","AUT","Austria","Europe",162,56.2,2,6.24,0.222,7581.8,0.8418,NA,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,16068,628,1784.065,69.728,357393,39.682,"3","1","2","1","2","1","4","1","0",NA,"1","1","1","1","2","2","1","2","0","0","2","1","2","2","0","0",NA,"14370","393","71.42","58.99","68.81","68.81"
"10","AZE","Azerbaijan","Europe",52.4,92.2,0.8,9.0934,0.079,NA,NA,NA,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,2980,36,293.91,3.551,NA,NA,"3","1","3","1","2","1","4","1","0","0","3","1","2","1","4","2","1","0","0","0","2","1","2","1","0","0",NA,"1253","20","86.24","86.24","82.86","82.86"
"11","BDI","Burundi","Africa",0.4,1.6,0,0.1346,0,NA,NA,NA,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,27,1,2.271,0.084,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"19","1","22.22","22.22","25.71","25.71"
"12","BEL","Belgium","Europe",1381.2,312.6,60.6,26.9724,5.2286,16596,1.432,NA,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,54644,8959,4714.91,773.02,NA,NA,"2","1","3","1","2","1","4","1","0",NA,"2","1","2","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"33573","4440","83.6","83.6","79.29","79.29"
"13","BEN","Benin","Africa",0,4,0,0.33,0,NA,NA,NA,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,339,2,27.963,0.165,NA,NA,"3","1","0",NA,"2","1","4","0","1","0","0",NA,"2","0","2","0",NA,"0","0","0","2","1","2","2","0","0",NA,"37","2","58.74","58.74","62.86","62.86"
"14","BFA","Burkina Faso","Africa",18.8,6.2,0.4,0.2968,0.0192,NA,NA,NA,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,782,51,37.41,2.44,NA,NA,"3","1","2","1","2","1","1","1","2","1","2","1","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"773","48","88.75","88.75","93.57","93.57"
"15","BGD","Bangladesh","Asia and the Pacific",161.4,1081.6,14,6.5676,0.085,7485.8,0.0454,NA,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,20065,298,121.835,1.809,167294,1.016,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","3","0",NA,"0","0","0","2","1","2","1","0","0",NA,"1231","50","91.93","91.93","90.71","90.71"
"16","BGR","Bulgaria","Europe",22.4,34.6,2.2,4.9794,0.3168,1369.2,0.197,NA,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,2138,102,307.695,14.68,64480,9.28,"3","1","1","1","2","1","4","1","0",NA,"2","0","2","1","3","2","0","2",NA,"0","2","1","1","0","0","0",NA,"747","41","75","75","72.86","72.86"
"17","BHR","Bahrain","West Asia",135,328.4,0.8,192.9968,0.4702,7881.6,4.6318,NA,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,6583,12,3868.75,7.052,230188,135.279,"3","1","2","1","2","1","4","1","1","1","2","1","1","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"1673","8","86.77","86.77","85.24","85.24"
"18","BIH","Bosnia and Herz.","Europe",39.8,29.4,5,8.9612,1.5238,NA,NA,NA,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,2237,127,681.843,38.71,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","0","3","1","0","2","0","0","2","1","2","0","0","0",NA,"1588","62","91.4","91.4","90.71","90.71"
"19","BLZ","Belize","Latin America and the Caribbean",1.6,0,0,0,0,NA,NA,NA,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,18,2,45.269,5.03,NA,NA,"3","1","3","1","2","1","3","1","0","0","0","0","0","0","4","1","1","0",NA,NA,"2","1","1","2","0","0",NA,"18","2","64.68","73.42","68.57","72.14"
"20","BMU","Bermuda","Latin America and the Caribbean",6.6,1,0.4,16.0582,6.4232,NA,NA,NA,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,123,9,1975.174,144.525,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"118","5","97.35","97.35","97.14","97.14"
"21","BOL","Bolivia","Latin America and the Caribbean",33,204.2,9.2,17.4936,0.7882,186.5,0.016,NA,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,3577,164,306.433,14.049,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","1","1","0","0","2","1","0","1","0","0",NA,"441","31","97.35","97.35","97.14","97.14"
"22","BRA","Brazil","Latin America and the Caribbean",1736.4,11104.8,738.8,52.243,3.476,NA,NA,NA,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,218223,14817,1026.645,69.708,NA,NA,"3","0","3","0","2","0","4","0","2","0","1","0","2","0","4","1","1","1","0","0","2","1","1","0","0","0",NA,"28320","1736","70.52","75.15","77.62","77.62"
"23","BRB","Barbados","Latin America and the Caribbean",1.6,0.2,0,0.696,0,NA,NA,NA,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,85,7,295.785,24.359,NA,NA,"3","1","3","1","2","1","4","1","1","1","3","1","2","1","2","1","0","1","0","0","2","1","2","2","0","0",NA,"75","7","90.47","90.47","86.67","86.67"
"24","BRN","Brunei","Asia and the Pacific",0,0,0,0,0,NA,NA,NA,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,141,1,322.298,2.286,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"0",NA,"1","1","4","1","0","0","0","0","2","1","2","1","0","0",NA,"138","1","60.71","60.71","63.81","63.81"
"25","BTN","Bhutan","Asia and the Pacific",0,2.4,0,3.1104,0,NA,NA,NA,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,21,0,27.216,0,NA,NA,"3","1","2","1","1","1","4","1","1","1","1","1","2","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"7","0","84.12","84.12","88.81","88.81"
"26","BWA","Botswana","Africa",0,0.2,0,0.085,0,NA,NA,NA,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,24,1,10.206,0.425,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","0","2","0","4","1","0","2","0","0","2","1","1","1","0","0",NA,"23","1","87.04","87.04","87.62","87.62"
"27","CAF","Central African Rep.","Africa",0,24.4,0,5.052,0,NA,NA,NA,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,301,0,62.322,0,NA,NA,"3","1","2","1",NA,NA,"3","1",NA,NA,NA,NA,"2","0","4",NA,NA,NA,NA,NA,"2","1",NA,NA,NA,NA,NA,"12","0",NA,NA,"71.67","71.67"
"28","CAN","Canada","North America",1246.2,1150.8,138.2,30.4912,3.6616,29310.4,0.7766,NA,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,74602,5562,1976.623,147.368,1265502,33.53,"3","1","3","0","2","0","4","0","0",NA,"2","1","2","1","4","2","1","1","0","0","2","1","3","1","0","0",NA,"28364","1010","76.73","76.73","76.43","76.43"
"29","CHE","Switzerland","Europe",421.6,41.8,11.4,4.8298,1.3174,4969.5,0.57425,NA,8654618,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,30431,1594,3516.158,184.179,NA,NA,"3","1","2","1","2","1","4","1","0",NA,"1","1","1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"26336","973","79.49","79.49","76.43","76.43"
"30","CHL","Chile","Latin America and the Caribbean",354.4,2135.2,16.4,111.696,0.8578,11253.6,0.5888,NA,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,39542,394,2068.506,20.611,350325,18.326,"3","1","2","1","2","1","3","1","0",NA,"2","1","2","0","3","1","0","1","0","0","2","1","2","2","0","0",NA,"8273","94","75.66","75.66","72.86","72.86"
"31","CHN","China","Asia and the Pacific",79.6,5.6,0,0.0038,0,NA,NA,NA,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,84038,4637,58.387,3.222,NA,NA,"3","0","2","0","2","0","4","0","0",NA,"1","0","1","0","3","0",NA,"0","0","0","2","1","3","2","0","0",NA,"83976","4637","55.17","55.17","56.9","56.9"
"32","CIV","Ivory Coast","Africa",34.8,63.4,0.6,2.4036,0.0228,NA,NA,NA,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,2017,24,76.464,0.91,NA,NA,"3","1","2","1","2","1","3","1","1","1","1","1","2","1","4","0",NA,"1","0","0","2","1","2","1","0","0",NA,"654","14","86.11","86.11","88.81","88.81"
"33","CMR","Cameroon","Africa",10.4,105.2,5.2,3.9628,0.1958,NA,NA,NA,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,3105,140,116.967,5.274,NA,NA,"3","1","2","1","2","1","3","1","1","1","0",NA,"1","1","4","0",NA,"0","0","0","2","1","2","0","0","0",NA,"1016","64","76.32","67.85","84.05","73.33"
"34","COD","Congo (Kinshasa)","Africa",8.8,69,4,0.7704,0.0446,NA,NA,NA,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,1369,61,15.286,0.681,NA,NA,"3","1","2","0","2","1","3","1","2","0","2","0","2","0","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"684","25","80.04","80.04","80.48","80.48"
"35","COG","Congo (Brazzaville)","Africa",11.4,20.8,1,3.7694,0.1812,NA,NA,NA,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,391,15,70.858,2.718,NA,NA,"3","1","3","1","2","1","3","1","2","1","3","1","2","1","4","1","1","2","0","0","2","1","1","1","0","0",NA,"200","10","98.02","98.02","97.14","97.14"
"36","COL","Colombia","Latin America and the Caribbean",126.4,630.6,16.6,12.3932,0.326,6044.75,0.11875,NA,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,14216,546,279.387,10.731,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"3105","131","90.74","90.74","88.81","88.81"
"37","CPV","Cape Verde","Africa",9.6,16,0,28.7776,0,NA,NA,NA,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,326,2,586.344,3.597,NA,NA,"2","1","3","1","2","1","0",NA,"1","1","2","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"55","1","79.63","79.63","88.81","88.81"
"38","CRI","Costa Rica","Latin America and the Caribbean",13.6,10.2,0.4,2.0024,0.0784,341.6,0.0672,NA,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,843,8,165.485,1.57,13696,2.689,"3","1","3","1","2","1","3","1","0","1","1","1","2","1","4","1","1","1","0","0","2","1","2","2","0","0",NA,"687","6","73.81","78.96","92.38","79.29"
"39","CUB","Cuba","Latin America and the Caribbean",50,14.8,0.4,1.3068,0.0352,2169.25,0.1915,NA,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,1840,79,162.449,6.975,NA,NA,"3","1","3","1","2","1","0","1","2","1","2","0","2","1","4","1","0","2","0","0","2","1","2","1","0","0",NA,"814","69","83.07","83.07","97.14","97.14"
"40","CYP","Cyprus","Europe",24,2.4,0.2,2.7398,0.2284,NA,NA,NA,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,910,17,1038.933,19.409,NA,NA,"3","1","3","0","2","1","4","1","2","1","2","1","2","1","4","2","1","2","0","0","2","1","3","2","0","0",NA,"735","15","94.18","94.18","93.57","93.57"
"41","CZE","Czech Rep.","Europe",114.2,56.6,3,5.2852,0.2802,7467.5,0.697,NA,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,8406,295,784.949,27.547,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"1","1","0",NA,"2","2","1","2","0","0","2","1","2","2","0","0",NA,"6303","227","62.3","62.3","66.43","66.43"
"42","DEU","Germany","Europe",2558.4,839.4,92.8,10.0186,1.1074,NA,NA,NA,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,173772,7881,2074.049,94.063,NA,NA,"3","1","1","1","2","1","4","1","0","1","2","0","2","0","4","2","0","2","0","0","2","1","1","1","0","0",NA,"159119","6288","81.75","81.75","80.48","80.48"
"43","DJI","Djibouti","Africa",57,19.8,0.2,20.0404,0.2024,NA,NA,NA,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,1309,4,1324.896,4.049,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","0",NA,"0","0","0","2","1","3","2","0","0",NA,"732","2","100","100","97.14","97.14"
"44","DMA","Dominica","Latin America and the Caribbean",0,0,0,0,0,NA,NA,NA,71991,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,16,0,222.25,0,NA,NA,"3","1","3","1","2","1","4","1","0",NA,"2","1","2","1","4","0",NA,"0","0","0","2","1","3","2","0","0",NA,"16","0","86.24","86.24","82.86","82.86"
"45","DNK","Denmark","Europe",172.4,72.4,1.6,12.4994,0.2764,10584.4,1.8272,NA,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,10791,537,1863.022,92.711,379482,65.516,"2","1","2","1","2","1","4","1","1","1","1","1","1","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"6681","533","81.47","81.47","80.48","80.48"
"46","DOM","Dominican Rep.","Latin America and the Caribbean",198.8,278.4,7.2,25.664,0.6636,NA,NA,NA,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,11739,424,1082.145,39.086,NA,NA,"3","1","3","1","2","1","3","1","2","1","3","1","2","1","4","1","1","0","0","0","2","1","2","1","0","0",NA,"6135","278","98.02","98.02","97.14","97.14"
"47","DZA","Algeria","Africa",79.8,181.2,6.8,4.1322,0.1552,NA,NA,NA,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,6629,536,151.171,12.223,NA,NA,"3","1","2","1","2","1","4","0","2","1","2","0","2","0","3","0",NA,"1","0","0","2","1","0","0","0","0",NA,"2160","336","82.42","82.42","85.95","85.95"
"48","ECU","Ecuador","Latin America and the Caribbean",139.4,381.6,93.4,21.629,5.294,NA,NA,NA,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,31467,2594,1783.534,147.027,NA,NA,"3","1","3","1","2","1","3","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","3","1","0","0",NA,"11183","576","95.37","95.37","97.14","97.14"
"49","EGY","Egypt","Africa",142.2,365.6,13.4,3.5726,0.1308,NA,NA,NA,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,11228,592,109.719,5.785,NA,NA,"3","1","2","1","2","1","1","1","2","1","2","1","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"3490","264","88.75","88.75","93.57","93.57"
"50","ESP","Spain","Europe",3657.8,603.25,178.75,12.9025,3.823,NA,NA,NA,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,230183,27459,4923.197,587.298,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","1","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"186311","23190","89.41","89.41","88.81","88.81"
"51","EST","Estonia","Europe",28.8,5.4,0.6,4.0708,0.4524,971.5,0.7325,NA,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,1766,63,1331.284,47.492,NA,NA,"3","1","3","1","2","1","4","0","0",NA,"2","1","0","1","2","0",NA,"2","0","0","2","1","2","0","0","0",NA,"1402","55","66.4","66.4","73.57","73.57"
"52","ETH","Ethiopia","Africa",4,9.6,0,0.0834,0,2884.66666666667,0.025,NA,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,287,5,2.496,0.043,NA,NA,"3","1","2","0","2","1","4","1","1","1","1","1","2","0","2","0",NA,"0","0","0","2","1","1","2","0","0",NA,"116","3","76.19","76.19","74.76","74.76"
"53","FIN","Finland","Europe",93.6,53.2,5.2,9.6018,0.9384,3672,0.52775,NA,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,6228,293,1124.042,52.881,NA,NA,"2","1","2","1","2","1","2","1","1","0","1","1","1","1","4","1","1","0","0","0","2","1","1","1","0","0",NA,"3237","72","74.33","74.33","75.71","75.71"
"54","FRA","France","Europe",3106,571.2,229.8,8.7508,3.5204,NA,NA,NA,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,141919,27529,2174.22,421.748,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","4","2","1","2","0","0","2","1","1","1","0","0",NA,"106206","17167","93.38","93.38","92.38","92.38"
"55","GAB","Gabon","Africa",8.2,109.6,0.4,49.2424,0.1796,NA,NA,NA,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,1209,10,543.193,4.493,NA,NA,"3","1","3","0","2","0","4","0","1","1","2","0","2","1","4","0",NA,"2","0","0","1","1","2","2","0","0",NA,"109","1","76.73","76.73","81.19","81.19"
"56","GBR","United Kingdom","Europe",5640.8,3505.6,428.6,51.6396,6.3136,68384.4,1.0072,NA,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,236711,33998,3486.89,500.81,1742028,25.661,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","0","2","1","2","0","0","2","1","1","0","0","0",NA,"98476","14915","79.63","79.63","77.38","77.38"
"57","GEO","Georgia","Europe",14.4,7.2,0.4,1.805,0.1004,NA,NA,NA,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,671,12,168.205,3.008,NA,NA,"3","1","2","1","2","1","4","1","2","1","3","1","2","0","4","1","0","1","0","0","2","1","2","2","0","0",NA,"582","6","94.18","94.18","93.57","93.57"
"58","GHA","Ghana","Africa",52.6,275,1.2,8.8502,0.0386,3479.66666666667,0.112333333333333,NA,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,5638,28,181.444,0.901,NA,NA,"3","1","1","1","2","1","3","1","1","1","0","1","0","0","4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"641","18","66.53","66.53","70.95","70.95"
"59","GMB","Gambia","Africa",1,0.6,0,0.2484,0,NA,NA,NA,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,23,1,9.517,0.414,NA,NA,"3","1","3","1","2","1","3","1","1","1","1","1","1","1","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"10","1","84.78","84.78","87.62","87.62"
"60","GRC","Greece","Europe",36.2,18.8,1.8,1.8036,0.1728,5384,0.5164,NA,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,2810,160,269.595,15.351,126283,12.116,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","3","1","1","1","0","0","2","1","2","0","0","0",NA,"2207","105","87.96","87.96","85.95","85.95"
"61","GRL","Greenland","Europe",0,0,0,0,0,NA,NA,NA,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,11,0,193.757,0,NA,NA,"3","0","2","1","2","1","2","1","2","1","1","1","1","1","4","0",NA,"0","0","0","2","1","3","2","0","0",NA,"11","0","80.95","80.95","85.24","85.24"
"62","GTM","Guatemala","Latin America and the Caribbean",11.8,118.2,0.8,6.5976,0.0448,NA,NA,NA,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,1643,30,91.708,1.675,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"196","7","97.35","97.35","97.14","97.14"
"63","GUM","Guam","Asia and the Pacific",1,0.6,0,3.555,0,NA,NA,NA,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,154,5,912.414,29.624,NA,NA,"3","1","3","1","2","1","4","1","2","0","1","1","0",NA,"3","1","0","0","0","0","2","1","2","1","0","0",NA,"136","5","77.65","77.65","82.38","82.38"
"64","GUY","Guyana","Latin America and the Caribbean",3,2.4,0,3.0512,0,NA,NA,NA,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,116,10,147.478,12.714,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","4","0",NA,"1","0","0","2","1","1","2",NA,"0",NA,"82","10","93.38","93.38","92.38","92.38"
"65","HND","Honduras","Latin America and the Caribbean",6.8,97.6,5.2,9.8542,0.5252,NA,NA,NA,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,2460,134,248.369,13.529,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","2","0","2","0","0","2","1","1","1","0","0",NA,"519","46","100","100","97.14","97.14"
"66","HRV","Croatia","Europe",49.2,7,1,1.7052,0.2438,1270.8,0.3094,NA,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,2222,95,541.256,23.141,52425,12.77,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","4","2","0","2","0","0","2","1","2","2","0","0",NA,"1741","47","91.54","91.54","88.81","88.81"
"67","HUN","Hungary","Europe",68.4,37.8,5.4,3.9128,0.559,3852.8,0.3988,NA,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,3473,448,359.511,46.375,131429,13.605,"3","1","2","0","2","1","1","1","1","0","2","1","2","1","4","0",NA,"2","3e+10","0","2","1","1","2","0","0",NA,"1652","225","78.44","78.44","80.48","80.48"
