"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"99","MRT","Mauritania","Africa",0,4.2,0.4,0.9032,0.086,NA,NA,NA,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,29,3,6.237,0.645,NA,NA,"3","1","1","1","2","1","4","1","0",NA,"2","1","2","1","4","1","1","1","0","0","2","1","0","2","0","0",NA,"7","1","80.95","80.95","75.71","75.71"
"100","MUS","Mauritius","Africa",1.2,0,0,0,0,NA,NA,NA,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,332,10,261.054,7.863,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","1","1","4","1","1","1","0","0","2","1","1","1","0","0",NA,"332","10","91.4","91.4","93.57","93.57"
"101","MWI","Malawi","Africa",1.4,1.4,0,0.073,0,NA,NA,NA,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,63,3,3.293,0.157,NA,NA,"3","1","0","0","2","1","3","1","0",NA,"1","1","0",NA,"3","1","0","0","0","0","2","1","1","2","0","0",NA,"17","3","56.61","56.61","58.57","58.57"
"102","MYS","Malaysia","Asia and the Pacific",145.2,39.8,0.8,1.2296,0.0248,NA,NA,NA,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,6855,112,211.796,3.46,434136,13.413,"3","1","3","1","2","1","2","1","0",NA,"0","1","2","1","3","1","1","2","0","0","2","1","3","2","0","0",NA,"5072","107","71.03","71.03","80","80"
"103","NAM","Namibia","Africa",0,0,0,0,0,NA,NA,NA,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,16,0,6.297,0,NA,NA,"3","1","1","1","2","1","3","1","0",NA,"2","0","2","1","4","2","1","1","0","0","2","1","1","2","0","0",NA,"712","7","75.79","75.79","75.71","75.71"
"104","NER","Niger","Africa",29.2,12.8,1,0.5288,0.0412,NA,NA,NA,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,885,51,36.56,2.107,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"0",NA,"2","0","4","0",NA,"1","0","0","2","1","1","1","0","0",NA,"655","20","61.51","61.51","63.81","63.81"
"105","NGA","Nigeria","Africa",20.4,209.2,5.6,1.015,0.0272,1193,0.006,NA,206139587,209.588,18.1,2.751,1.447,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,5445,171,26.414,0.83,32942,0.16,"3","1","3","0","2","0","4","0","2","0","2","0","2","1","4","0",NA,"0","0","0","2","1","1","2","0","0",NA,"407","40","79.76","79.76","84.05","84.05"
"106","NIC","Nicaragua","Latin America and the Caribbean",0.4,1.8,0.6,0.2718,0.0906,NA,NA,NA,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,NA,NA,NA,0.9,25,8,3.774,1.208,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2","0",NA,"0","0","0","2","1","1","0","0","0",NA,"16","5","16.67","16.67","20","20"
"107","NLD","Netherlands","Europe",1011.2,210.8,40.6,12.3024,2.3694,5499.33333333333,0.320666666666667,NA,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,43681,5643,2549.246,329.328,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"28153","3134","84.65","84.65","85.95","85.95"
"108","NOR","Norway","Europe",86.6,19.6,3,3.6154,0.5532,3399.75,0.62725,NA,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,8197,232,1512.015,42.795,NA,NA,"2","1","1","1","2","1","2","1","1","1","0",NA,"1","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"6791","193","71.69","71.69","80.48","80.48"
