"","world_region","country_name","C1_School.closing","C1_Flag","C2_Workplace.closing","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"92","Europe","Moldova",3,1,2,2,1,4,2,1,2,4,1,1,1,1,1,1,0,0
"93","Africa","Madagascar",0,1,1,2,1,3,1,1,2,4,0,0,2,1,1,1,0,0
"94","Latin America and the Caribbean","Mexico",3,1,3,2,1,3,1,2,2,3,0,0,2,1,1,1,0,0
"95","Africa","Mali",3,1,0,2,1,3,2,1,2,3,1,1,2,1,1,2,0,0
"96","Asia and the Pacific","Myanmar",3,1,3,2,0,4,2,2,2,3,0,0,2,1,2,1,0,0
"97","Asia and the Pacific","Mongolia",3,1,2,2,1,4,1,2,0,4,0,2,2,1,1,2,0,0
"98","Africa","Mozambique",3,1,0,2,1,3,0,1,0,2,0,0,2,1,1,2,0,0
"99","Africa","Mauritania",3,1,1,2,1,4,0,2,2,4,1,1,2,1,0,2,0,0
"100","Africa","Mauritius",3,1,3,2,1,3,1,2,1,4,1,1,2,1,1,1,0,0
"101","Africa","Malawi",3,1,0,2,1,3,0,1,0,3,1,0,2,1,1,2,0,0
"102","Asia and the Pacific","Malaysia",3,1,3,2,1,2,0,0,2,3,1,2,2,1,3,2,0,0
"103","Africa","Namibia",3,1,1,2,1,3,0,2,2,4,2,1,2,1,1,2,0,0
"104","Africa","Niger",3,1,0,2,1,3,0,0,2,4,0,1,2,1,1,1,0,0
"105","Africa","Nigeria",3,1,3,2,0,4,2,2,2,4,0,0,2,1,1,2,0,0
"107","Europe","Netherlands",3,1,3,2,1,3,1,2,1,3,2,1,2,1,1,1,0,0
"108","Europe","Norway",2,1,1,2,1,2,1,0,1,4,0,2,2,1,1,1,0,0
"109","Asia and the Pacific","Nepal",3,1,3,2,1,3,2,3,2,3,1,2,2,1,1,2,0,0
"110","Asia and the Pacific","New Zealand",3,1,2,2,1,4,2,2,2,4,2,1,2,1,2,2,0,0
"111","West Asia","Oman",3,1,2,2,1,4,2,2,2,4,2,0,2,1,2,2,0,0
"112","Asia and the Pacific","Pakistan",3,1,2,2,0,4,2,2,2,4,1,0,2,1,2,1,0,0
"113","Latin America and the Caribbean","Panama",2,1,3,2,1,4,0,2,2,4,0,0,2,1,2,1,0,0
"114","Latin America and the Caribbean","Peru",3,1,3,2,1,4,1,3,2,4,1,2,2,1,2,1,0,0
"115","Asia and the Pacific","Philippines",3,1,3,2,1,4,2,3,2,3,0,0,2,1,2,2,0,0
"116","Asia and the Pacific","Papua New Guinea",3,1,3,2,1,2,0,2,1,4,0,0,2,1,2,2,0,0
"117","Europe","Poland",3,1,2,2,1,4,1,1,2,4,1,1,2,1,1,0,0,0
"118","Latin America and the Caribbean","Puerto Rico",3,1,3,2,1,4,2,3,2,4,0,2,2,1,1,2,0,0
"119","Europe","Portugal",3,1,3,2,1,4,1,2,1,3,1,2,2,1,3,1,0,0
"120","Latin America and the Caribbean","Paraguay",3,1,3,2,1,4,1,3,2,4,1,2,2,1,2,1,0,0
"121","Europe","West Bank",3,1,3,2,1,4,2,2,2,4,0,2,2,1,1,1,0,0
"122","West Asia","Qatar",3,1,2,2,1,4,2,2,1,4,2,0,2,1,1,2,0,0
"123","Europe","Romania",3,1,2,2,1,4,2,2,2,4,2,2,2,1,3,1,0,0
"124","Europe","Russia",3,1,3,2,1,4,1,3,2,4,0,2,2,1,3,2,0,0
"125","Africa","Rwanda",3,1,3,2,1,4,2,3,2,4,0,1,2,1,3,2,0,0
"126","West Asia","Saudi Arabia",3,1,2,2,1,4,2,3,2,4,2,1,2,1,2,0,0,0
"127","Africa","Sudan",3,1,1,2,1,3,2,2,2,4,0,0,2,1,2,1,0,0
"129","Asia and the Pacific","Singapore",3,1,3,2,1,4,1,2,2,2,1,2,2,1,2,2,0,0
"130","Africa","Sierra Leone",3,1,0,2,1,3,1,1,2,4,0,0,2,1,2,2,0,0
"131","Latin America and the Caribbean","El Salvador",3,1,3,2,1,4,1,3,2,4,1,1,2,1,3,0,0,0
"132","Europe","San Marino",3,1,1,2,1,4,2,2,2,4,1,1,2,1,2,2,0,0
"133","Africa","Somalia",3,1,0,2,1,3,0,1,0,4,0,0,2,1,1,0,0,0
"134","Europe","Serbia",3,1,2,2,1,4,2,3,2,4,1,1,2,1,1,2,0,0
"135","Africa","S. Sudan",3,1,3,2,1,4,1,2,2,4,0,0,2,1,2,1,0,0
"136","Latin America and the Caribbean","Suriname",3,1,0,2,1,4,2,2,2,4,0,0,2,1,1,1,0,0
"138","Europe","Slovenia",3,1,2,2,1,4,2,1,2,3,1,2,2,1,2,1,0,0
"140","Africa","Swaziland",3,1,0,2,1,3,2,2,2,3,0,0,2,1,3,1,0,0
"141","Africa","Seychelles",3,1,3,2,1,4,2,2,2,3,0,0,2,1,2,2,0,0
