"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_smoothed","new_tests_per_thousand","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"23","BRA","Brazil","Latin America and the Caribbean",2633.8,13049.2,728.6,61.3906,3.428,NA,NA,NA,NA,NA,NA,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,254220,16792,1195.995,78.999,NA,NA,"3","0","3","0","2","0","4","0","2","0","1","0","2","0","4","1","1","1","0","0","2","1","1","0","0","0",NA,"36599","2347","72.51","72.51","77.62","75.71"
"24","BRB","Barbados","Latin America and the Caribbean",0.6,0.6,0,2.088,0,NA,NA,NA,NA,NA,82.53,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,88,7,306.224,24.359,NA,NA,"3","1","3","1","2","1","4","1","1","1","3","1","2","1","2","1","0","1","0","0","2","1","2","2","0","0",NA,"82","7","90.47","90.47","86.67","86.67"
"25","BRN","Brunei","Asia and the Pacific",0.2,0,0,0,0,NA,NA,NA,NA,NA,NA,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,141,1,322.298,2.286,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"0",NA,"1","1","4","1","0","0","0","0","2","1","2","1","0","0",NA,"138","1","60.71","60.71","63.81","63.81"
"26","BTN","Bhutan","Asia and the Pacific",0,1.2,0,1.5552,0,NA,NA,NA,NA,NA,NA,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,21,0,27.216,0,NA,NA,"3","1","2","1","1","1","4","1","1","1","0",NA,"2","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"7","0","78.3","78.3","88.81","88.81"
"27","BWA","Botswana","Africa",0.4,0.2,0,0.085,0,NA,NA,NA,NA,NA,NA,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,25,1,10.631,0.425,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","0","2","0","4","1","0","2","0","0","2","1","1","1","0","0",NA,"23","1","87.04","87.04","87.62","87.62"
"28","CAF","Central African Rep.","Africa",0.2,27.8,0,5.7558,0,NA,NA,NA,NA,NA,NA,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,336,0,69.569,0,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"0",NA,"2","0","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"50","0","69.97","69.97","74.52","74.52"
"29","CAN","Canada","North America",1535.6,1156.6,107.6,30.6448,2.851,32834.2,34.1904,28417,0.7528,NA,67.74,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,78061,5842,2068.271,154.787,1336967,0.45,"3","1","3","0","2","0","4","0","0",NA,"1","1","2","0","4","2","1","1","0","0","2","1","3","1","0","0",NA,"33341","1467","70.91","70.91","71.67","71.67"
"30","CHE","Switzerland","Europe",364.6,36.8,7.8,4.252,0.9014,3278.25,40.036,4618.75,0.5335,NA,71.55,8654618,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,30514,1602,3525.748,185.103,NA,NA,"3","1","2","1","2","1","4","1","0",NA,"1","1","1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"27322","1110","74.2","74.2","71.67","71.67"
"31","CHL","Chile","Latin America and the Caribbean",441,2335.6,26.4,122.1792,1.381,14356.6,19.183,12331.4,0.645,NA,78.83,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,46059,478,2409.421,25.005,397200,0.847,"3","1","2","1","2","1","3","1","0",NA,"2","1","2","0","3","1","0","1","0","0","2","1","2","2","0","0",NA,"9730","126","75.66","75.66","72.86","72.86"
"32","CHN","China","Asia and the Pacific",100,7.8,0.2,0.0052,2e-04,NA,NA,NA,NA,NA,NA,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,84063,4638,58.405,3.222,NA,NA,"3","0","2","0","2","0","4","0","0",NA,"1","0","1","0","3","0",NA,"0","0","0","2","1","3","2","0","0",NA,"83976","4637","55.17","55.17","56.9","56.9"
"33","CIV","Ivory Coast","Africa",35,41.4,0.8,1.5696,0.0304,NA,NA,NA,NA,NA,NA,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,2119,28,80.331,1.061,NA,NA,"3","1","2","1","2","1","3","1","1","1","1","1","2","1","4","0",NA,"1","0","0","2","1","2","1","0","0",NA,"801","14","86.11","86.11","88.81","88.81"
"34","CMR","Cameroon","Africa",39.2,98.4,0.8,3.7066,0.0302,NA,NA,NA,NA,NA,NA,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,3292,140,124.012,5.274,NA,NA,"3","1","0","1","2","1","3","1","1","1","0",NA,"1","1","4","0",NA,"0","0","0","2","1","2","0","0","0",NA,"2265","64","67.85","67.85","73.33","73.33"
"35","COD","Congo (Kinshasa)","Africa",18.4,77.4,2.2,0.8642,0.0246,NA,NA,NA,NA,NA,80.04,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,1629,61,18.189,0.681,NA,NA,"3","1","2","0","2","1","3","1","2","0","2","0","2","0","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"684","25","80.04","80.04","80.48","80.48"
"36","COG","Congo (Brazzaville)","Africa",14.6,14.2,0.8,2.5734,0.145,NA,NA,NA,NA,NA,NA,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,412,15,74.663,2.718,NA,NA,"3","1","3","1","2","1","3","1","2","1","3","1","2","1","4","1","1","2","0","0","2","1","1","1","0","0",NA,"200","10","98.02","98.02","97.14","97.14"
"37","COL","Colombia","Latin America and the Caribbean",153.8,673,16.6,13.2266,0.3262,6455.66666666667,3.73166666666667,6361.66666666667,0.125,NA,90.74,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,16295,592,320.245,11.635,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"3621","166","90.74","90.74","88.81","88.81"
"38","CPV","Cape Verde","Africa",9.6,7.8,0.2,14.0292,0.3598,NA,NA,NA,NA,NA,82.41,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,328,3,589.941,5.396,NA,NA,"2","1","3","1","2","1","3","1","1","1","2","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"67","2","79.63","79.63","88.81","88.81"
"39","CRI","Costa Rica","Latin America and the Caribbean",8.6,10.2,0.6,2.0024,0.1178,358.8,2.752,345,0.0678,NA,NA,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,866,10,170,1.963,14616,0.027,"3","1","3","1","2","1","3","1","0","1","1","1","2","1","4","1","1","1","0","0","2","1","2","2","0","0",NA,"687","6","78.96","78.96","79.29","79.29"
"40","CUB","Cuba","Latin America and the Caribbean",52,14.2,0,1.2538,0,2045.5,7.30975,2071,0.183,NA,NA,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,1881,79,166.069,6.975,NA,NA,"3","1","3","1","2","1","0","1","2","1","2","0","2","1","4","1","0","2","0","0","2","1","2","1","0","0",NA,"986","79","83.07","83.07","97.14","97.14"
"41","CYP","Cyprus","Europe",19.8,2.4,0,2.74,0,NA,NA,NA,NA,NA,94.18,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,917,17,1046.924,19.409,NA,NA,"3","1","3","0","2","1","4","1","2","1","2","1","2","1","4","2","1","2","0","0","2","1","3","2","0","0",NA,"761","15","94.18","94.18","93.57","93.57"
