"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_smoothed","new_tests_per_thousand","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"115","PER","Peru","Latin America and the Caribbean",1380.2,3725.4,124,112.9874,3.7606,3225.5,3.0206,2757.2,0.0836,NA,97.35,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,94933,2789,2879.214,84.587,105627,0.085,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"14420","348","96.03","96.03","97.14","97.14"
"116","PHL","Philippines","Asia and the Pacific",231,220,11.8,2.0076,0.1076,NA,1.716,6324,0.058,NA,94.58,109581085,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,12718,831,116.06,7.583,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","3","1","0","2","0","0","2","1","2","2","0","0",NA,"6087","397","97.22","94.58","94.29","94.29"
"117","PNG","Papua New Guinea","Asia and the Pacific",1,0,0,0,0,NA,NA,NA,NA,NA,43.66,8947027,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,8,0,0.894,0,NA,NA,"0","1","2","0","2","1","4","0","0","1","1","0","2","0","2","0",NA,"0","0","0","2","1","2","2","0","0",NA,"8","0","51.6","51.6","50.95","50.95"
"118","POL","Poland","Europe",361.6,336.2,15,8.8832,0.3962,19773.4,16.3142,20202.8,0.5338,NA,NA,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,18885,936,498.988,24.731,653224,0.454,"3","1","2","1","2","1","4","1","1","1","1","1","2","1","4","1","0","1","0","0","2","1","1","0","0","0",NA,"8742","347","88.09","88.09","88.81","88.81"
"119","PRI","Puerto Rico","Latin America and the Caribbean",43,76.2,1.8,26.6356,0.6294,NA,NA,NA,NA,NA,97.35,2860840,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,2710,124,947.274,43.344,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"1252","63","100","97.35","97.14","93.57"
"120","PRT","Portugal","Europe",550.2,215.4,11.2,21.1244,1.0984,14802.3333333333,63.866,15254.3333333333,1.49633333333333,NA,NA,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,29209,1231,2864.552,120.725,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","1","1","3","1","1","2","0","0","2","1","3","1","0","0",NA,"25524","1007","86.64","86.64","85.95","85.95"
"121","PRY","Paraguay","Latin America and the Caribbean",8.6,9.6,0,1.346,0,NA,NA,NA,NA,NA,NA,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,788,11,110.48,1.542,NA,NA,"3","1","3","1","2","1","4","1","1","1","3","1","2","1","4","1","1","2","0","0","2","1","2","1","0","0",NA,"213","10","96.03","96.03","92.38","92.38"
"122","PSE","West Bank","Europe",9,3.8,0,0.7448,0,NA,NA,NA,NA,NA,NA,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NA,NA,NA,NA,567,4,111.146,0.784,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"547","4","97.35","97.35","97.14","97.14"
"123","QAT","Qatar","West Asia",355.4,1486,0.2,515.7824,0.0694,4448.8,54.5858,4205.8,1.46,NA,90.74,2881060,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,33969,15,11790.452,5.206,166182,1.557,"3","1","2","1","2","1","4","1","2","1","2","1","1","1","4","2","0","0","0","0","2","1","1","2","0","0",NA,"5008","10","90.74","90.74","90","90"
"124","ROU","Romania","Europe",357,206.8,18.2,10.7496,0.9462,8063.33333333333,15.7456666666667,7936,0.412333333333333,NA,76.98,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,17036,1107,885.554,57.543,NA,NA,"3","1","2","1","2","1","4","1","2","0","2","1","2","0","4","2","0","2","0","0","2","1","3","1","0","0",NA,"8418","417","88.36","88.36","85.24","85.24"
"125","RUS","Russia","Europe",3693,9681.4,102,66.3408,0.6988,232842.8,47.262,211018.4,1.4458,NA,84.39,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,290678,2722,1991.839,18.652,7352316,1.407,"3","1","3","1","2","1","4","1","1","1","2","0","2","0","4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"36793","313","87.04","87.04","87.62","87.62"
"126","RWA","Rwanda","Africa",3.4,2,0,0.1544,0,1494.5,3.7625,1004.75,0.07775,NA,NA,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,297,0,22.93,0,NA,NA,"3","1","3","1","2","1","4","1","2","1","3","1","2","1","4","0",NA,"1","0","0","2","1","3","2","0","0",NA,"287","0","100","100","97.14","97.14"
"127","SAU","Saudi Arabia","West Asia",668,2503,9.4,71.8968,0.27,20899.4,16.5724,18089,0.5196,NA,87.84,34813867,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,57345,320,1647.188,9.192,618084,0.463,"3","1","2","1","2","1","4","1","2","1","3","0","2","0","4","2","0","1","0","0","2","1","2","2","0","0",NA,"8274","92","87.84","87.84","93.57","86.43"
"128","SDN","Sudan","Africa",7.4,154.6,3,3.5258,0.0684,NA,NA,NA,NA,NA,NA,43849269,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,2591,105,59.089,2.395,NA,NA,"3","1","1","1","2","1","3","1","2","1","2","0","2","0","4","0",NA,"0",NA,"0","2","1","2","1","0","0",NA,"1964","41","83.73","83.73","85.24","85.24"
"129","SEN","Senegal","Africa",11.8,87.8,0.8,5.2436,0.0478,987,1.7034,1010.8,0.0604,NA,NA,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,2544,26,151.936,1.553,30436,0.056,"3","1","0",NA,"2","1","4","1","0",NA,"0",NA,"2","1","4","1","0","2","0","0","2","1","2","2","0","0",NA,"350","9","66.67","66.67","68.57","68.57"
"130","SGP","Singapore","Asia and the Pacific",614.8,599.4,0.2,102.4556,0.0342,NA,NA,NA,NA,NA,85.18,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,28343,22,4844.673,3.76,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","2","1","1","2","0","0","2","1","2","2","0","0",NA,"11178","12","87.83","87.83","86.67","86.67"
"131","SLE","Sierra Leone","Africa",3.8,26.4,2.4,3.3096,0.3008,NA,NA,NA,NA,NA,NA,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,519,33,65.062,4.137,NA,NA,"3","1","0","1","2","1","3","1","1","1","1","1","2","1","4","0",NA,"0","0","0","2","1","2","2","0","0",NA,"82","0","77.64","77.64","78.1","78.1"
"132","SLV","El Salvador","Latin America and the Caribbean",8.2,60.2,2,9.2814,0.3084,3066.33333333333,8.58675,2086.75,0.32175,NA,100,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,1413,30,217.847,4.625,NA,NA,"3","1","3","1","2","1","4","1","1","1","3","1","2","1","4","1","1","1","0","0","2","1","3","0","0","0",NA,"298","8","96.03","96.03","92.38","92.38"
"133","SMR","San Marino","Europe",19.8,2.2,0,64.8238,0,NA,NA,NA,NA,NA,71.42,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,654,41,19270.434,1208.085,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","1","1","4","1","1","1","0","0","2","1","2","2","0","0",NA,"513","41","92.06","92.06","90","90"
"134","SOM","Somalia","Africa",22,47.2,1,2.9698,0.063,NA,NA,NA,NA,NA,NA,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,1455,57,91.548,3.586,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"1","1","0",NA,"4","0",NA,"0",NA,"0","2","1","1","0","0","0",NA,"286","28","59.39","59.39","61.43","61.43"
"135","SRB","Serbia","Europe",388,80.8,1.8,11.8742,0.2646,5577.2,26.4752,5712,0.8394,NA,75.525,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,10699,231,1572.32,33.948,190683,0.779,"3","1","2","1","2","1","4","1","2","1","3","1","2","0","4","1","0","1","0","0","2","1","1","2","0","0",NA,"5994","125","94.18","94.18","93.57","93.57"
"136","SSD","S. Sudan","Africa",0,15.8,0.8,1.4114,0.0714,NA,NA,NA,NA,NA,94.71,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,282,4,25.193,0.357,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","0","2","1","4","0",NA,"0","0","0","2","1","2","1","0","0",NA,"4","0","90.21","90.21","92.38","92.38"
"137","SUR","Suriname","Latin America and the Caribbean",0,0.2,0,0.341,0,NA,NA,NA,NA,NA,NA,586634,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,11,1,18.751,1.705,NA,NA,"3","1","0",NA,"2","1","4","1","2","1","2","1","2","0","4","0",NA,"0","0","0","2","1","1","1","0","0",NA,"10","1","83.07","83.07","79.29","79.29"
"138","SVK","Slovakia","Europe",64,5.2,0.2,0.9522,0.0366,2712.8,25.9084,3177.4,0.582,NA,78.96,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,1495,28,273.827,5.129,145474,0.374,"3","1","2","0","2","1","3","1","1","1","1","1","1","1","4","2","0","2","0","0","2","1","1","2","0","0",NA,"1455","26","78.96","78.96","80.48","80.48"
"139","SVN","Slovenia","Europe",21,0.6,0.2,0.2886,0.0962,817.25,33.55425,931.75,0.44825,NA,NA,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,1466,104,705.17,50.026,NA,NA,"3","1","2","1","2","1","4","1","2","1","1","1","2","1","3","1","1","2","0","0","2","1","2","1","0","0",NA,"1439","103","89.28","89.28","90.71","90.71"
"140","SWE","Sweden","Europe",574.8,493.6,47.6,48.8748,4.713,NA,20.784,4595.66666666667,0.455333333333333,NA,47.35,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,30377,3698,3007.841,366.165,NA,NA,"1","1","1","1","0",NA,"3","1","0",NA,"0",NA,"1","1","3","2","0","1","0","0","2","1","1","1","0","0",NA,"13822","1511","47.35","47.35","58.1","58.1"
"141","SWZ","Swaziland","Africa",0.8,3.2,0,2.7582,0,NA,NA,NA,NA,NA,84.26,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,203,2,174.975,1.724,NA,NA,"3","1","0",NA,"2","1","3","1","2","1","2","1","2","1","4","0",NA,"0","0","0","2","1","3","1","0","0",NA,"24","1","84.26","84.26","82.86","82.86"
"142","SYC","Seychelles","Africa",0.2,0,0,0,0,NA,NA,NA,NA,NA,NA,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,11,0,111.857,0,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","3","0",NA,"0","0","0","2","1","2","2","0","0",NA,"11","0","94.58","94.58","94.29","94.29"
"143","SYR","Syria","West Asia",2.6,2,0,0.1142,0,NA,NA,NA,NA,NA,NA,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,58,3,3.314,0.171,NA,NA,"3","1","2","1","2","0","3","1","2","1","2","0","2","0","3","0",NA,"0","0","0","2","1","1",NA,NA,NA,NA,"42","3","80.43","80.43","83.1","83.1"
"144","TCD","Chad","Africa",2,29.4,2.2,1.79,0.1342,NA,NA,NA,NA,NA,NA,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,519,53,31.597,3.227,NA,NA,"3","1","3","1","2","1","3","1","2","1","2","0","2","0","4","0",NA,"2","0","0","2","1","1","0","0","0",NA,"33","0","88.23","88.23","97.14","97.14"
"145","THA","Thailand","Asia and the Pacific",24,2.8,0,0.04,0,NA,NA,NA,NA,NA,82.145,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,3031,56,43.424,0.802,NA,NA,"3","1","2","0","2","1","3","1","2","0","1","1","2","0","4","2","1","2","0","0","2","1","2","1","0","0",NA,"2839","54","83.73","83.73","84.05","84.05"
"146","TTO","Trinidad and Tobago","Latin America and the Caribbean",0.2,0,0,0,0,NA,NA,NA,NA,NA,93.38,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,116,8,82.887,5.716,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","4","2","1","2","0","0","2","1","1","2","0","0",NA,"116","8","93.38","93.38","92.38","92.38"
"147","TUN","Tunisia","Africa",28,2.2,0.2,0.1862,0.017,1252.66666666667,3.44,1265.33333333333,0.107333333333333,NA,NA,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,1043,46,88.251,3.892,NA,NA,"3","1","3","1","2","1","4","1","1","1","2","1","2","1","3","1","1","2","0","0","2","1","1","1","0","0",NA,"1032","45","90.61","90.61","89.52","89.52"
"148","TUR","Turkey","Europe",4256,1495.8,43.8,17.7356,0.5194,33338.6,19.1786,35424.2,0.42,NA,80.42,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,150593,4171,1785.566,49.455,1675517,0.301,"3","1","2","1","2","1","0",NA,"2","0","2","1","2","1","4","2","0","1","0","0","2","1","2","2","0","0",NA,"82329","1890","80.42","80.42","88.81","88.81"
"149","TWN","Taiwan","Asia and the Pacific",1,0,0,0,0,249.5,2.9105,289,0.012,NA,NA,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,440,7,18.474,0.294,NA,NA,"0",NA,"0",NA,"1","1","0",NA,"0",NA,"0",NA,"0",NA,"4","1","0","0","0","0","2","1","2","2","0","0",NA,"440","6","29.36","29.36","35.24","35.24"
"150","TZA","Tanzania","Africa",20.4,0,0,0,0,NA,NA,NA,NA,NA,50.4,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,509,21,8.521,0.352,NA,NA,"3","1","0",NA,"2","0","3","1","0",NA,"0",NA,"0",NA,"4","0",NA,"0","0","0","2","1","0","1","0","0",NA,"509","21","50.4","50.4","51.43","51.43"
"151","UGA","Uganda","Africa",0.2,24.2,0,0.529,0,2301,1.58566666666667,2000,0.0435,NA,89.94,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,260,0,5.684,0,NA,NA,"3","1","3","1","2","1","3","1","2","1","2","1","2","1","3","0",NA,"0","0","0","2","1","1","1","0","0",NA,"79","0","92.59","92.59","94.29","94.29"
"152","UKR","Ukraine","Europe",469.4,438.2,19.2,10.0196,0.439,7493.2,5.181,7468.2,0.1708,NA,92.06,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,18616,535,425.667,12.233,239961,0.161,"3","1","2","1","2","1","4","1","2","1","1","1","2","1","4","1","0","1","0","0","2","1","1","1","0","0",NA,"9009","220","92.06","92.06","93.57","93.57"
"153","URY","Uruguay","Latin America and the Caribbean",9,3.6,0.2,1.0364,0.0576,835,9.4834,769.2,0.2214,NA,71.16,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,737,20,212.164,5.758,34384,0.151,"3","0","1","1","2","1","0",NA,"1","1","1","1","2","1","4","1","0","2","0","0","2","1","1","1","0","0",NA,"517","17","71.16","71.16","81.67","81.67"
"154","USA","United States","North America",30498.4,23570.4,1244,71.209,3.7582,364115.5,34.111,346286.25,1.04625,NA,68.41,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,1508598,90353,4557.661,272.968,NA,NA,"3","0","3","0","2","0","4","0","1","0","2","0","2","0","3","2","0","1","0","0","2","1","3","1","0","0",NA,"735086","38910","68.41","68.41","70","70"
"155","UZB","Uzbekistan","Asia and the Pacific",99.4,38,0.4,1.1354,0.012,NA,NA,NA,NA,NA,87.5675,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,2802,13,83.719,0.388,NA,NA,"3","1","3","1","2","1","4","1","2","1","2","1","2","1","4","1","0","2","0","0","2","1","1","2","0","0",NA,"1495","10","88.36","88.36","90","90"
"156","VEN","Venezuela","Latin America and the Caribbean",7.6,35.6,0,1.2522,0,NA,NA,NA,NA,NA,86.24,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,618,10,21.733,0.352,NA,NA,"3","1","3","1","2","1","3","1","0",NA,"2","1","2","1","4","0",NA,"2","0","0","2","1","1","0","0","0",NA,"256","10","84.26","84.26","82.86","82.86"
"157","VNM","Vietnam","Asia and the Pacific",0.2,7.2,0,0.074,0,NA,NA,NA,NA,NA,NA,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,324,0,3.329,0,NA,NA,"3","0","2","1","2","1","3","1","1","1","0","0","2","1","4","1","1","0","0","0","2","1","3","2","0","0",NA,"270","0","77.12","69.18","85.24","85.24"
"158","YEM","Yemen","West Asia",0,12,1.6,0.4024,0.0538,NA,NA,NA,NA,NA,54.23,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,130,20,4.359,0.671,NA,NA,"3","1","0",NA,"2","1","0",NA,"0",NA,"1","1","2","0","4","0",NA,"0","0","0","1","1","0","0","0","0",NA,"1","0","54.23","54.23","59.05","59.05"
"159","ZAF","South Africa","Africa",152.4,871.8,13.4,14.6994,0.226,18013.25,7.575,16708.25,0.28175,NA,88.75,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,16433,286,277.076,4.822,NA,NA,"3","1","2","1","2","1","3","1","1","1","2","1","2","1","4","1","1","0","0","0","2","1","3","2","0","0",NA,"3034","58","88.75","88.75","88.81","88.81"
"160","ZMB","Zambia","Africa",2.4,63,0,3.4268,0,NA,NA,NA,NA,NA,45.37,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,761,7,41.395,0.381,NA,NA,"3","1","0","1","2","0","4","0","0",NA,"2","0","2","0","2","0",NA,"1","0","0","2","1","1","2","0","0",NA,"65","3","62.45","62.45","60.95","60.95"
"161","ZWE","Zimbabwe","Africa",1.6,1.8,0,0.1212,0,567.666666666667,0.83,376.5,0.0255,NA,91.4,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,46,4,3.095,0.269,NA,NA,"3","1","3","1","2","1","3","1","1","1","2","1","2","1","4","1","1","0","0","0","2","1","1","2","0","0",NA,"34","4","91.4","91.4","92.38","92.38"
