Sample.id,Species,AMF,Cd.leaf,Pb.leaf,Zn.leaf,Cd.soil,Pb.soil,Zn.soil
DF52E,DF,0.1,2.996213875,6.26481083,321.6503691,5.141198465,310.5013283,1302.887927
DF54x,DF,NA,3.22523697,5.49987778,275.7068361,NA,NA,NA
DF57A,DF,NA,4.121222826,25.72084603,257.6500199,NA,NA,NA
DF57B,DF,0.028571429,4.566315176,21.18156283,255.3874845,31.75333535,1777.305442,2805.448727
DF58A,DF,0.028571429,3.037357538,4.056342003,371.3022621,22.90436902,1811.074591,3079.569275
DF58B,DF,0,2.973771921,4.063173515,242.9512772,73.99349837,1643.5015,3561.177794
DF59A,DF,0.012820513,5.692410594,10.78000256,479.9235794,26.43351294,712.5157986,1974.555977
DF59B,DF,NA,6.60763843,27.86220871,747.2137791,NA,NA,NA
DF60A,DF,0.22,4.22754329,12.25987554,269.4213339,26.12560029,1031.191276,2123.925175
DF60B,DF,0,2.446283687,5.707995271,289.2220818,73.19165608,1199.823016,4235.196168
DF61A,DF,NA,4.198661817,4.445641924,349.3870403,NA,NA,NA
DF62A,DF,0,4.696063053,11.32864695,186.6321966,64.75402661,1382.438288,2302.836134
DF62B,DF,NA,3.80385027,3.288073962,403.0308305,NA,NA,NA
DFHB,DF,NA,4.922279793,15.37132988,318.7823834,NA,NA,NA
H68A,ES,0.007692308,12.36007568,50.12662783,1128.685956,9.225304217,81.51124959,1640.537113
H68B,ES,0.114285714,13.68372646,26.45613917,730.4249807,21.91731892,161.4843459,1977.555442
H69A,ES,NA,9.937646142,57.0537802,1236.028839,NA,NA,NA
H69B,ES,0.18,9.769303202,32.87126715,712.6140032,NA,127.9977911,649.5345535
H70B,ES,0.1,41.58513445,44.38039224,2136.059659,142.1344006,1398.267863,9137.969635
H71A,ES,0.171717172,61.25431576,94.82537237,1797.058241,37.68624577,316.8508234,2865.232944
H71B,ES,0.02,66.11391341,81.3556116,1970.649433,93.49350271,587.983845,7413.684586
H72A,ES,0.02,38.6893636,46.52202937,2435.006676,202.9839483,979.4664015,21546.39895
H72B,ES,0.12,67.34862603,119.8681758,3041.342359,178.4620159,915.0514597,16906.2888
H73A,ES,0.41,34.66589205,28.4159834,1789.35104,59.06113537,252.3471616,6319.732533
H73B,ES,0,41.51161883,37.67987718,1524.607068,95.87576049,896.8011527,11413.66234
H74A,ES,0.241758242,19.51751686,39.08462265,1579.418373,21.02855868,337.8514056,4514.892905
H74B,ES,0.0625,26.80009202,36.49068323,1307.712215,41.34205721,268.081761,4520.288091
H75A,ES,0.163265306,49.31909947,24.72546506,1693.987367,35.0060551,189.0326975,3008.997502
H75B,ES,0.16,47.51253172,16.8146935,1551.382851,30.94766308,182.3645971,3107.515569
H76A,ES,0.188571429,55.54707786,20.94414894,1812.62989,48.55277841,295.0442587,5105.158037
H76B,ES,0.2,46.57315675,17.69673015,1549.416739,47.98534799,232.6373626,5221.016484
H77A,ES,0,20.01463988,17.75534413,1149.720417,143.3494551,1163.687575,14401.77433
H77B,ES,0.053191489,36.75442158,28.26091861,1993.776507,72.46957996,401.418456,8691.906895
H78A,ES,0.1,18.26026556,20.34243007,642.7351326,54.43944297,644.4314222,3592.603925
H78B,ES,0.367088608,6.291962389,21.9221669,411.1537917,8.147539555,80.87631176,968.7955148
MP104x,MP,0,NA,NA,NA,NA,NA,NA
MP105x,MP,0.014285714,33.66881735,7.804623967,3632.922239,390.9600641,1688.265248,25562.60156
MP107x,MP,0.025,71.79391453,9.367572778,5705.234107,486.881691,3375.205126,25613.5227
MP108x,MP,0.1,37.86387688,5.498267083,5190.936417,379.2687289,1910.098255,31713.39296
MP109x,MP,NA,18.59155952,9.466126678,4572.976829,NA,NA,NA
MP110x,MP,0,22.883816,7.439709368,2901.695996,211.8577771,1067.551974,19263.90057
MP111x,MP,0,65.83687586,4.80942431,7305.002162,460.0772916,1925.171759,36468.25845
